CD_CVM,NM_PREGAO,BTICKER,SETOR,SUBSETOR,SEGMENTO,CD_GOVERN,QTDE_ON,QTDE_PN
21237,ENEVA,ENEV,Utilidade Pública,Energia Elétrica,Energia Elétrica,NM             ,315767683,0
17329,ENGIE BRASIL,EGIE,Utilidade Pública,Energia Elétrica,Energia Elétrica,NM             ,815927740,0
20010,EQUATORIAL,EQTL,Utilidade Pública,Energia Elétrica,Energia Elétrica,NM             ,1010286085,0
16608,EQTLMARANHAO,EQMA,Utilidade Pública,Energia Elétrica,Energia Elétrica,MB             ,161318939,2864960
18309,EQTL PARA,EQPA,Utilidade Pública,Energia Elétrica,Energia Elétrica,,2204620569,4453438
5762,ETERNIT,ETER,Bens Industriais,Construção e Engenharia,Produtos para Construção,NM             ,31773929,0
5770,EUCATEX,EUCA,Materiais Básicos,Madeira e Papel,Madeira,N1             ,31257700,61361556
20524,EVEN,EVEN,Consumo Cíclico,Construção Civil,Incorporações,NM             ,212000000,0
1570,EXCELSIOR,BAUH,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,,2846929,2375293
20770,EZTEC,EZTC,Consumo Cíclico,Construção Civil,Incorporações,NM             ,227000000,0
22977,FGENERGIA,FGEN,Utilidade Pública,Energia Elétrica,Energia Elétrica,,807080529,0
15369,FER C ATLANT,VSPT,Bens Industriais,Transporte,Transporte Ferroviário,,125445701,19
20621,FER HERINGER,FHER,Materiais Básicos,Químicos,Fertilizantes e Defensivos,NM             ,53857284,0
3891,ALFA FINANC,CRIV,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,,58736269,44206287
6076,FINANSINOS,FNCN,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,,913778,0
21881,FLEURY,FLRY,Saúde,Análises e Diagnósticos,Análises e Diagnósticos,NM             ,316788210,0
24350,FLEX S/A,FLEX,Bens Industriais,Serviços Diversos,Serviços Diversos,MA,3248533,0
6211,FRAS-LE,FRAS,Bens Industriais,Material de Transporte,Material Rodoviário,N1             ,217566343,0
16101,GAFISA,GFSA,Consumo Cíclico,Construção Civil,Incorporações,NM             ,120000000,0
22764,GAIA AGRO,GAFL,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,890148,0
20222,GAIA SECURIT,GAIA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,MB             ,699012,0
17965,GAMA PART,OPGM,Outros,Outros,Outros,MB             ,1935716,0
21008,GENERALSHOPP,GSHP,Financeiro,Exploração de Imóveis,Exploração de Imóveis,NM             ,1928769,0
3980,GERDAU,GGBR,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,N1             ,573627483,1146031245
19569,GOL,GOLL,Bens Industriais,Transporte,Transporte Aéreo,N2             ,2863682710,273879123
16632,GPC PART,GPCP,Materiais Básicos,Químicos,Petroquímicos,,5882782,384787
4537,GRAZZIOTIN,CGRA,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",,8174413,11926570
19615,GRENDENE,GRND,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,NM             ,902160000,0
24694,CENTAURO,CNTO,Consumo Cíclico,Comércio,Produtos Diversos,NM             ,241015279,0
4669,GUARARAPES,GUAR,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",,499200000,0
13366,HAGA S/A,HAGA,Bens Industriais,Construção e Engenharia,Produtos para Construção,,3966667,7933333
24392,HAPVIDA,HAPV,Saúde,Análises e Diagnósticos,Análises e Diagnósticos,NM             ,742985906,0
20877,HELBOR,HBOR,Consumo Cíclico,Construção Civil,Incorporações,NM             ,669255362,0
6629,HERCULES,HETA,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,,171198,338801
6700,HOTEIS OTHON,HOOT,Consumo Cíclico,Hoteis e Restaurantes,Hotelaria,,10477917,7894494
21431,HYPERA,HYPE,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,NM             ,632238060,0
18414,IDEIASNET,IDNT,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,,78449779,0
